rank,host_id,vulnerability_id,vuln_id,cvss,normalized_cvss,exploit_probability,attacker_reachability,distance_from_entry,critical_asset_exposure,asset_criticality,nearest_critical_distance,reachable_critical_asset_count,path_frequency,graph_importance,monte_carlo_host_compromise_probability,monte_carlo_critical_asset_probability,priority_score,associated_path
1,1,h1-v2,h1-v2,8.495017057076431,0.8495017057076432,0.8118771321345539,1.0,0,0.7925500000000001,1.0,3,5,5,1.0,0.967,0.991,88.041327,"[1, 26, 25, 10, 35]"
2,0,h0-v1,h0-v1,7.50998311978933,0.750998311978933,0.6887478899736662,1.0,0,0.8133833333333335,1.0,2,5,5,1.0,0.99,0.991,84.129507,"[0, 12, 35]"
3,12,h12-v1,h12-v1,9.331463385660157,0.9331463385660157,0.9164329232075197,0.5,1,0.8550500000000001,1.0,1,5,4,0.9,0.991,0.991,81.867835,"[0, 12, 35]"
4,26,h26-v2,h26-v2,8.99158412143702,0.899158412143702,0.8739480151796275,0.5,1,0.8133833333333335,1.0,2,5,5,1.0,0.991,0.991,80.796712,"[0, 29, 26, 25, 10, 35]"
5,26,h26-v1,h26-v1,8.945712865212872,0.8945712865212873,0.868214108151609,0.5,1,0.8133833333333335,1.0,2,5,5,1.0,0.991,0.991,80.590291,"[0, 29, 26, 25, 10, 35]"
6,1,h1-v1,h1-v1,6.824846406153516,0.6824846406153516,0.6031058007691895,1.0,0,0.7925500000000001,1.0,3,5,5,1.0,0.967,0.991,80.525559,"[1, 26, 25, 10, 35]"
7,36,h36-v1,h36-v1,9.59161879395296,0.9591618793952961,0.9489523492441201,0.25,3,0.9800500000000001,1.0,0,5,2,0.7,0.9905,0.991,78.163535,"[0, 12, 8, 36]"
8,29,h29-v1,h29-v1,8.02643104776266,0.802643104776266,0.7533038809703325,0.5,1,0.8550500000000001,1.0,1,5,5,1.0,0.991,0.991,77.49519,"[0, 29, 37, 38, 35]"
9,0,h0-v2,h0-v2,5.892249947824949,0.5892249947824949,0.4865312434781186,1.0,0,0.8133833333333335,1.0,2,5,5,1.0,0.99,0.991,76.849708,"[0, 12, 35]"
10,39,h39-v2,h39-v2,8.41507130532763,0.8415071305327629,0.8018839131659536,0.3333333333333333,2,0.9800500000000001,1.0,0,5,2,0.7,0.991,0.991,74.535738,"[0, 29, 39, 7, 11, 5, 35]"
11,8,h8-v1,h8-v1,8.968929716961034,0.8968929716961034,0.8711162146201292,0.3333333333333333,2,0.8550500000000001,1.0,1,5,2,0.7,0.991,0.991,73.9031,"[0, 12, 8, 14, 13, 5, 35]"
12,10,h10-v1,h10-v1,9.051158062226783,0.9051158062226783,0.8813947577783479,0.3333333333333333,2,0.8550500000000001,1.0,1,5,1,0.6,0.9875,0.991,72.773128,"[0, 32, 10, 35]"
13,29,h29-v2,h29-v2,6.832610127826778,0.6832610127826778,0.6040762659783473,0.5,1,0.8550500000000001,1.0,1,5,5,1.0,0.991,0.991,72.122996,"[0, 29, 37, 38, 35]"
14,19,h19-v1,h19-v1,9.354262579231555,0.9354262579231556,0.9192828224039444,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9905,0.991,71.595432,"[0, 29, 19, 3, 12, 35]"
15,21,h21-v2,h21-v2,9.681207308747544,0.9681207308747544,0.95,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.9795,0.991,71.196998,"[0, 32, 10, 21, 31, 12, 35]"
16,27,h27-v1,h27-v1,9.661865321657533,0.9661865321657533,0.95,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.957,0.991,71.158314,"[0, 29, 19, 27, 16, 5, 35]"
17,33,h33-v1,h33-v1,9.175252726764617,0.9175252726764617,0.8969065908455771,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.99,0.991,70.789887,"[0, 29, 33, 26, 3, 12, 35]"
18,10,h10-v2,h10-v2,8.406758536449914,0.8406758536449914,0.8008448170562392,0.3333333333333333,2,0.8550500000000001,1.0,1,5,1,0.6,0.9875,0.991,69.87333,"[0, 32, 10, 35]"
19,16,h16-v2,h16-v2,9.096553379419657,0.9096553379419656,0.8870691724274571,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.949,0.991,69.81074,"[0, 12, 2, 16, 5, 35]"
20,14,h14-v2,h14-v2,8.917773789737929,0.8917773789737928,0.8647217237172411,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.987,0.991,69.631232,"[0, 12, 14, 13, 5, 35]"
21,38,h38-v2,h38-v2,7.601648170762488,0.7601648170762487,0.700206021345311,0.25,3,0.9800500000000001,1.0,0,5,2,0.7,0.991,0.991,69.208667,"[0, 12, 35, 38, 37, 15, 14, 8, 36]"
22,7,h7-v1,h7-v1,8.9119887231797,0.89119887231797,0.8639985903974625,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.9025,0.991,68.980199,"[0, 29, 39, 7, 11, 5, 35]"
23,35,h35-v1,h35-v1,6.770624761358929,0.677062476135893,0.5963280951698662,0.3333333333333333,2,0.9800500000000001,1.0,0,5,3,0.8,0.99,0.991,68.635728,"[0, 12, 35]"
24,8,h8-v2,h8-v2,7.750127977046988,0.7750127977046988,0.7187659971308735,0.3333333333333333,2,0.8550500000000001,1.0,1,5,2,0.7,0.991,0.991,68.418493,"[0, 12, 8, 14, 13, 5, 35]"
25,3,h3-v1,h3-v1,8.144855639065538,0.8144855639065538,0.7681069548831922,0.3333333333333333,2,0.8133833333333335,1.0,2,5,1,0.6,0.987,0.991,67.6531,"[0, 12, 3, 26, 25, 10, 35]"
26,5,h5-v1,h5-v1,8.578902031972639,0.857890203197264,0.8223627539965799,0.25,3,0.8550500000000001,1.0,1,5,0,0.5,0.926,0.991,67.481309,"[0, 12, 35, 5, 13, 14, 8, 36]"
27,23,h23-v1,h23-v1,8.782921516408496,0.8782921516408496,0.847865189551062,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.971,0.991,67.35773,"[0, 12, 8, 23, 34, 5, 35]"
28,38,h38-v1,h38-v1,7.173261144124512,0.7173261144124512,0.646657643015564,0.25,3,0.9800500000000001,1.0,0,5,2,0.7,0.991,0.991,67.280925,"[0, 12, 35, 38, 37, 15, 14, 8, 36]"
29,35,h35-v2,h35-v2,6.404253563839827,0.6404253563839827,0.5505316954799784,0.3333333333333333,2,0.9800500000000001,1.0,0,5,3,0.8,0.99,0.991,66.987058,"[0, 12, 35]"
30,25,h25-v1,h25-v1,7.975498877409387,0.7975498877409387,0.7469373596761734,0.3333333333333333,2,0.8133833333333335,1.0,2,5,1,0.6,0.9465,0.991,66.890995,"[0, 12, 2, 25, 10, 35]"
31,34,h34-v1,h34-v1,8.861829022638535,0.8861829022638534,0.8577286278298168,0.2,4,0.8133833333333335,1.0,2,5,0,0.5,0.717,0.991,66.712814,"[0, 12, 35, 5, 34, 23, 8, 36]"
32,31,h31-v1,h31-v1,8.026841258453997,0.8026841258453997,0.7533551573067496,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.9755,0.991,65.622036,"[0, 12, 31, 21, 10, 35]"
33,2,h2-v1,h2-v1,7.94926558299331,0.794926558299331,0.7436581978741638,0.3333333333333333,2,0.8133833333333335,1.0,2,5,0,0.5,0.986,0.991,65.272945,"[0, 12, 2, 16, 5, 35]"
34,21,h21-v1,h21-v1,8.260139083794096,0.8260139083794096,0.782517385474262,0.25,3,0.8133833333333335,1.0,2,5,0,0.5,0.9795,0.991,65.005209,"[0, 32, 10, 21, 31, 12, 35]"
