rank,host_id,vulnerability_id,vuln_id,cvss,normalized_cvss,exploit_probability,individual_enablement,marginal_enablement,attacker_reachability,distance_from_entry,critical_asset_exposure,asset_criticality,nearest_critical_distance,reachable_critical_asset_count,path_frequency,graph_importance,monte_carlo_host_compromise_probability,monte_carlo_critical_asset_probability,priority_score,associated_path,critical_assets_affected,risk_before,risk_after,patch_value,risk_reduction_percent,attack_path_count,patch_priority_score,reason
1,36,h36-v1,h36-v1,9.59161879395296,0.9591618793952961,0.9489523492441201,0.5639801405629461,0.56398,0.25,3,0.924175,1.0,0,5,2,0.7,0.991,0.9915,76.76666,"[0, 12, 8, 36]","[35, 36, 37, 38, 39]",8.0675,6.9815,1.0860000000000012,13.46141927486831,2,1.0860000000000012,"h36-v1 on host 36 (CVSS 9.6, exploit prob 0.949) lies on attack path 0 → 12 → 8 → 36. Marginal host-compromise enablement: 0.5640 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 2 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 6.9815 (-13.5%)."
2,38,h38-v2,h38-v2,7.601648170762488,0.7601648170762487,0.700206021345311,0.24741244595684644,0.247412,0.25,3,0.924175,1.0,0,5,2,0.7,0.9915,0.9915,67.811792,"[0, 12, 35, 38, 37, 15, 14, 8, 36]","[35, 36, 37, 38, 39]",8.0675,7.1,0.9675000000000011,11.992562751781852,2,0.9675000000000011,"h38-v2 on host 38 (CVSS 7.6, exploit prob 0.700) lies on attack path 0 → 12 → 35 → 38 → 37 → 15 → 14 → 8 → 36. Marginal host-compromise enablement: 0.2474 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 2 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.1000 (-12.0%)."
3,39,h39-v1,h39-v1,3.323479987654355,0.3323479987654355,0.16543499845679438,0.16543499845679438,0.165435,0.3333333333333333,2,0.924175,1.0,0,5,2,0.7,0.6025,0.9915,50.226702,"[0, 29, 39, 7, 11, 5, 35]","[35, 36, 37, 38, 39]",8.0675,7.3,0.767500000000001,9.513480012395425,2,0.767500000000001,"h39-v1 on host 39 (CVSS 3.3, exploit prob 0.165) lies on attack path 0 → 29 → 39 → 7 → 11 → 5 → 35. Marginal host-compromise enablement: 0.1654 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 2 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.3000 (-9.5%)."
4,38,h38-v1,h38-v1,7.173261144124512,0.7173261144124512,0.646657643015564,0.19386406762709954,0.193864,0.25,3,0.924175,1.0,0,5,2,0.7,0.9915,0.9915,65.88405,"[0, 12, 35, 38, 37, 15, 14, 8, 36]","[35, 36, 37, 38, 39]",8.0675,7.306,0.7615000000000007,9.439107530213828,2,0.7615000000000007,"h38-v1 on host 38 (CVSS 7.2, exploit prob 0.647) lies on attack path 0 → 12 → 35 → 38 → 37 → 15 → 14 → 8 → 36. Marginal host-compromise enablement: 0.1939 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 2 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.3060 (-9.4%)."
5,37,h37-v1,h37-v1,3.905894553448865,0.3905894553448865,0.23823681918110812,0.19081439848206713,0.190814,0.3333333333333333,2,0.924175,1.0,0,5,3,0.8,0.9185,0.9915,54.347567,"[0, 29, 37, 38, 35]","[35, 36, 37, 38, 39]",8.0675,7.487,0.5805000000000007,7.195537651069111,3,0.5805000000000007,"h37-v1 on host 37 (CVSS 3.9, exploit prob 0.238) lies on attack path 0 → 29 → 37 → 38 → 35. Marginal host-compromise enablement: 0.1908 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 3 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.4870 (-7.2%)."
6,26,h26-v2,h26-v2,8.99158412143702,0.899158412143702,0.8739480151796275,0.11517401860957832,0.115174,0.5,1,0.7575083333333333,1.0,2,5,5,1.0,0.991,0.9915,79.399837,"[0, 29, 26, 25, 10, 35]","[35, 36, 37, 38, 39]",8.0675,7.599,0.4685000000000006,5.807251317012712,5,0.4685000000000006,"h26-v2 on host 26 (CVSS 9.0, exploit prob 0.874) lies on attack path 0 → 29 → 26 → 25 → 10 → 35. Marginal host-compromise enablement: 0.1152 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 5 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.5990 (-5.8%)."
7,26,h26-v1,h26-v1,8.945712865212872,0.8945712865212873,0.868214108151609,0.10944011158155986,0.10944,0.5,1,0.7575083333333333,1.0,2,5,5,1.0,0.991,0.9915,79.193416,"[0, 29, 26, 25, 10, 35]","[35, 36, 37, 38, 39]",8.0675,7.623,0.44450000000000056,5.50976138828634,5,0.44450000000000056,"h26-v1 on host 26 (CVSS 8.9, exploit prob 0.868) lies on attack path 0 → 29 → 26 → 25 → 10 → 35. Marginal host-compromise enablement: 0.1094 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 5 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.6230 (-5.5%)."
8,8,h8-v1,h8-v1,8.968929716961034,0.8968929716961034,0.8711162146201292,0.24498750000182,0.244988,0.3333333333333333,2,0.799175,1.0,1,5,2,0.7,0.9915,0.9915,72.506225,"[0, 12, 8, 14, 13, 5, 35]","[35, 36, 37, 38, 39]",8.0675,7.6325,0.4350000000000005,5.392004958165485,2,0.4350000000000005,"h8-v1 on host 8 (CVSS 9.0, exploit prob 0.871) lies on attack path 0 → 12 → 8 → 14 → 13 → 5 → 35. Marginal host-compromise enablement: 0.2450 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 2 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.6325 (-5.4%)."
9,37,h37-v2,h37-v2,3.5924464022663223,0.3592446402266322,0.19905580028329029,0.15163337958424927,0.151633,0.3333333333333333,2,0.924175,1.0,0,5,3,0.8,0.9185,0.9915,52.93705,"[0, 29, 37, 38, 35]","[35, 36, 37, 38, 39]",8.0675,7.652,0.41550000000000065,5.15029439107531,3,0.41550000000000065,"h37-v2 on host 37 (CVSS 3.6, exploit prob 0.199) lies on attack path 0 → 29 → 37 → 38 → 35. Marginal host-compromise enablement: 0.1516 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 3 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.6520 (-5.2%)."
10,35,h35-v1,h35-v1,6.770624761358929,0.677062476135893,0.5963280951698662,0.26803057787365386,0.268031,0.3333333333333333,2,0.924175,1.0,0,5,3,0.8,0.991,0.9915,67.238853,"[0, 12, 35]","[35, 36, 37, 38, 39]",8.0675,7.785,0.28250000000000064,3.5017043693833356,3,0.28250000000000064,"h35-v1 on host 35 (CVSS 6.8, exploit prob 0.596) lies on attack path 0 → 12 → 35. Marginal host-compromise enablement: 0.2680 (probability this vulnerability uniquely opens the host). Acts as a bottleneck node traversing 3 attack path(s). Threatens downstream critical assets: [35, 36, 37, 38, 39]. Mitigating it reduces network weighted critical-asset risk from 8.0675 to 7.7850 (-3.5%)."
